field,classification,recommendation,sample_nonnull_pct,sample_unique_values,sample_bytes_100_trades,prod_read_count,prod_write_count,read_files,write_files,string_ref_files
antiComboRegistryVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,6600,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
winningSetupRegistryVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,6400,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
positionLifecycleEngine,BATCH_MANIFEST,Move engine identifier to batch/run manifest unless it changes mid-run.,100.0,1,6100,1,1,src/migrations/migrateLongTradeRecord.js,src/app/LongLabApp.jsx,src/export/longTradeExportSchema.js
filterRegistryVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,5900,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
labelRegistryVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,5700,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
marketContextVersion,BATCH_MANIFEST,Move registry version to batch manifest.,100.0,1,5700,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
scoreRegistryVersion,BATCH_MANIFEST,Move registry version to batch manifest; retain tradeSchemaVersion per row.,100.0,1,5700,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
exitSystemVersion,BATCH_MANIFEST,Move engine version to batch manifest.,100.0,1,5100,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
pnlModelVersion,BATCH_MANIFEST,Move model version to batch manifest.,100.0,1,4700,0,2,,src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
bestDnaV2PromotionStatus,BATCH_MANIFEST,Static SHADOW_ONLY status; move to manifest.,100.0,1,4200,0,1,,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAesV2PromotionStatus,BATCH_MANIFEST,Static SHADOW_ONLY status; move to manifest.,100.0,1,4200,0,1,,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
bestDnaPrimaryVersion,BATCH_MANIFEST,Static role metadata; move to manifest.,100.0,1,3000,0,1,,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longAesPrimaryVersion,BATCH_MANIFEST,Static role metadata; move to manifest.,100.0,1,3000,0,1,,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
feeModelVersion,BATCH_MANIFEST,Move model version to batch manifest.,100.0,2,2960,13,12,src/components/fees/FeeAuditDrawer.jsx | src/components/fees/FeeBreakdownPopover.jsx | src/components/fees/FeeModelInspector.jsx | src/fees/feeAccounting.js | src/fees/feeConfig.js | src/fees/feeExport.js | src/fees/feeLedger.js | src/fees/feeMigration.js,src/fees/feeAccounting.js | src/fees/feeConfig.js | src/fees/feeExport.js | src/fees/feeLedger.js | src/fees/feeMigration.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longResearchSchemaVersions.js,src/export/longBatchExport.js | src/export/longTradeExportSchema.js
canAffectExecution,BATCH_MANIFEST,Replace three repeated booleans with one batch executionMode.,100.0,1,2800,1,42,src/export/longTradeExportSchema.js,src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/entryPolicy/adaptiveAes.js | src/fees/profitLockTelemetry.js | src/filters/evaluateLongWinningSetupMatches.js | src/filters/longFilterAnalytics.js | src/filters/longWinningSetups.js | src/lifecycle/longTradeLifecycle.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longGate/longGateAudit.js | src/marketRegime/longMarketBreadthLogOnly.js | src/marketRegime/normalizeLongMarketContext.js | src/outcomes/longPostFee10Support.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/research/longEvidenceSemantics.js | src/research/longPreviewScorers.js | src/safety/assertLongResearchOnly.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.v2Shadow.js | src/scoring/longCandidateRunner/longCandidateRunner.scorer.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longTradeExportSchema.js
executionApplied,BATCH_MANIFEST,Replace three repeated booleans with one batch executionMode.,100.0,1,2600,1,25,src/export/longTradeExportSchema.js,src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/entryPolicy/adaptiveAes.js | src/fees/profitLockTelemetry.js | src/filters/evaluateLongWinningSetupMatches.js | src/filters/longFilterAnalytics.js | src/filters/longWinningSetups.js | src/lifecycle/longTradeLifecycle.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/research/longEvidenceSemantics.js | src/safety/assertLongResearchOnly.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.v2Shadow.js,src/export/longTradeExportSchema.js
logOnly,BATCH_MANIFEST,Replace three repeated booleans with one batch executionMode.,100.0,1,1600,8,48,src/export/longTradeExportSchema.js | src/scoring/absoluteEntryScore/absoluteEntryScore.config.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.config.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/postFee10/postFee10.config.js | src/scoring/postFee10/postFee10.scorer.js,src/aesDiscovery/aesDiscoveryScore.js | src/audits/bestDnaLongAuditV2.js | src/combos/longComboRegistry.js | src/entryPolicy/adaptiveAes.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/fees/profitLockTelemetry.js | src/filters/evaluateLongWinningSetupMatches.js | src/filters/longFilterAnalytics.js | src/filters/longWinningSetups.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longGate/longGateAudit.js | src/marketRegime/longMarketBreadthLogOnly.js | src/marketRegime/normalizeLongMarketContext.js | src/outcomes/longPostFee10Support.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/research/longEvidenceSemantics.js | src/research/longPreviewScorers.js | src/safety/assertLongResearchOnly.js | src/scoring/absoluteEntryScore/absoluteEntryScore.config.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.config.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.v2Shadow.js | src/scoring/longCandidateRunner/longCandidateRunner.scorer.js | src/scoring/longPostFee10/longPostFee10.scorer.js | src/scoring/postFee10/postFee10.config.js,src/export/longTradeExportSchema.js
entryPolicyShadowDecision,BROKEN_MAPPING,"Flattener expects this, but evaluator emits entryPolicyDiagnosticDecision; currently null. Map or rename.",0.0,1,3400,3,3,src/components/MarketRegimeDetails.jsx | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js
profitLockDetectionLatencyMs,DEAD_LEGACY,Superseded by profitLockCrossToLocalDetectionLatencyMs and null in new records.,0.0,1,3700,0,1,,src/fees/profitLockTelemetry.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
priceMovePct,DERIVABLE_ALIAS,Numerically identical to grossNormPnlPct for LONG; derive on demand or omit from default export.,100.0,100,2324,1,9,src/app/LongLabApp.jsx,src/app/LongLabApp.jsx | src/domain/longTradeMath.js | src/lifecycle/openPositionLifecycle.js,src/export/longTradeExportSchema.js
closeReasonDetail,DUPLICATE_SEMANTIC,Currently always equals canonical close reason; remove unless true subreason is added.,100.0,4,3270,2,4,src/filters/components/ExplainMatchDrawer.jsx | src/lifecycle/longTradeLifecycle.js,src/app/LongLabApp.jsx | src/lifecycle/closeReasons.js | src/lifecycle/longTradeLifecycle.js | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/filters/longCompareMode.js
entryResearchSnapshot,HEAVY_DUPLICATE,Remove from default CSV/JSONL; export once in forensic snapshots JSONL only.,100.0,100,5016246,2,2,src/safety/assertEntrySnapshotConsistency.js,src/app/LongLabApp.jsx | src/research/buildResearchEnrichedTrade.js,src/export/longBatchExport.js | src/export/longBatchExportTransport.js | src/export/longTradeExportSchema.js
longWinningSetupMatchDetails,HEAVY_DUPLICATE,Keep matched IDs/counts in master; move clause details to forensic/setup-details JSONL.,100.0,47,1520335,0,1,,src/filters/evaluateLongWinningSetupMatches.js,src/export/longBatchExport.js | src/export/longBatchExportTransport.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longComboDetails,HEAVY_DUPLICATE,Keep matched combo IDs/counts in master; move all-clause details to forensic/combo-details JSONL.,100.0,75,849270,0,1,,src/combos/longComboRegistry.js,src/export/longBatchExport.js | src/export/longBatchExportTransport.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
entrySnapshotFieldStatus,HEAVY_DUPLICATE,"Export only missing/non-recorded fields, or move full map to forensic snapshots.",100.0,100,220000,0,2,,src/migrations/migrateLongTradeRecord.js | src/research/entrySnapshotProvenance.js,src/export/longBatchExport.js | src/export/longBatchExportTransport.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
profitLockFloorEnforcementSucceeded,LEGACY_ALIAS,Superseded by profitLockFloorPreserved.,32.0,2,4432,4,1,src/app/LongLabApp.jsx,src/fees/profitLockTelemetry.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
feeAdjustedMarginPnlPct,LEGACY_ALIAS,Alias of feeAdjustedLeveragedPnlPct; migrate UI/filters then deprecate.,100.0,100,3442,31,12,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/components/fees/FeeAuditDrawer.jsx | src/components/fees/FeeBreakdownPopover.jsx | src/export/longBestDnaExport.js | src/export/runOutcomeRanking.js | src/fees/feeLabels.js | src/fees/feeLedger.js | src/fees/feeSelectors.js | src/outcomes/longPostFee10Support.js | src/scoring/postFee10/postFee10.outcomes.js | src/telemetry/feeTelemetry.js,src/app/LongLabApp.jsx | src/fees/feeAccounting.js | src/fees/feeExport.js | src/fees/feeLedger.js | src/fees/feeMigration.js | src/telemetry/feeTelemetry.js,src/export/longTradeExportSchema.js | src/filters/longFilterEngine.js
profitLockLevelMarginPct,LEGACY_ALIAS,Superseded by profitLockProtectedFloorMarginPct.,47.0,5,3237,15,3,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/exitProfiles/dynamicExitProfiles.js | src/lifecycle/profitLockProtection.js | src/lifecycle/profitLockStrategy.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockStrategy.js,src/export/longTradeExportSchema.js
profitLockLevelPrice,LEGACY_ALIAS,Superseded by profitLockProtectedFloorPrice.,47.0,48,3165,7,3,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js | src/lifecycle/profitLockStrategy.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockStrategy.js,src/export/longTradeExportSchema.js
profitLockStage,LEGACY_ALIAS,Superseded by profitLockProtectedStage.,47.0,6,2870,5,3,src/app/LongLabApp.jsx | src/lifecycle/profitLockProtection.js | src/lifecycle/profitLockStrategy.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockStrategy.js,src/export/longTradeExportSchema.js
rawMarginPnlPct,LEGACY_ALIAS,Alias of grossLeveragedPnlPct in current LONG records; deprecate after consumers migrate.,100.0,100,2625,8,7,src/app/LongLabApp.jsx | src/export/longTradeExportSchema.js | src/outcomes/longPostFee10Support.js | src/scoring/postFee10/postFee10.outcomes.js | src/telemetry/feeTelemetry.js,src/app/LongLabApp.jsx | src/outcomes/longPostFee10Support.js | src/telemetry/feeTelemetry.js,src/export/longTradeExportSchema.js | src/filters/longFilterEngine.js
profitLockActive,LEGACY_ALIAS,Superseded by profitLockStrategyActive.,100.0,2,2553,15,4,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/longRunnerCaptureAudit.js | src/exitProfiles/dynamicExitProfiles.js | src/fees/profitLockTelemetry.js | src/lifecycle/profitLockProtection.js | src/lifecycle/profitLockStrategy.js,src/app/LongLabApp.jsx | src/lifecycle/profitLockStrategy.js,src/export/longTradeExportSchema.js
rawNormPnlPct,LEGACY_ALIAS,Alias of grossNormPnlPct in current LONG records; deprecate after consumers migrate.,100.0,100,2422,5,4,src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/export/runOutcomeRanking.js | src/migrations/migrateLongTradeRecord.js | src/telemetry/feeTelemetry.js,src/app/LongLabApp.jsx | src/telemetry/feeTelemetry.js,src/export/longTradeExportSchema.js | src/filters/longFilterEngine.js
longShadowComponentVerdicts,RETAIN,,100.0,44,24451,1,1,src/filters/FiltersTab.jsx,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/longFilterSnapshot.js
absoluteEntryMarketAdjustmentPenalties,RETAIN,,100.0,2,12850,1,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/export/longTradeExportSchema.js
longCandidateRunnerReasons,RETAIN,,100.0,30,10389,4,2,src/app/LongLabApp.jsx | src/filters/FiltersTab.jsx,src/scoring/longCandidateRunner/longCandidateRunner.scorer.js,src/export/longTradeExportSchema.js
longGateReasons,RETAIN,,100.0,8,10041,1,2,src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longFilterMissingOptionalFields,RETAIN,,100.0,2,9418,1,2,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
absoluteEntryMarketAdjustmentVersion,RETAIN,,100.0,1,7100,1,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/export/longTradeExportSchema.js
longCandidateRunnerPenalties,RETAIN,,100.0,8,6891,2,2,src/app/LongLabApp.jsx | src/filters/FiltersTab.jsx,src/scoring/longCandidateRunner/longCandidateRunner.scorer.js,src/export/longTradeExportSchema.js
entryPolicyPrimaryReason,RETAIN,,100.0,3,6648,3,6,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/export/longTradeExportSchema.js
bestDnaLongLabels,RETAIN,,100.0,9,6255,5,3,src/app/LongLabApp.jsx | src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js | src/filters/FiltersTab.jsx,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx
longPostFee10PositiveGenes,RETAIN,,100.0,14,5956,4,3,src/app/LongLabApp.jsx | src/export/longBestDnaExport.js | src/filters/FiltersTab.jsx,src/export/longBestDnaExport.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
bestDnaLongPrimaryLabel,RETAIN,,97.0,6,5928,2,3,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
topLoserLongThesisLane,RETAIN,,100.0,5,5861,4,2,src/combos/longComboRegistry.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longEvidenceSemantics.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
longMarketContextLabel,RETAIN,,100.0,1,5700,6,1,src/entryPolicy/adaptiveAes.js | src/filters/components/ExplainMatchDrawer.jsx | src/longAudits/longEntryDangerAuditLogOnly.js | src/research/buildLongShadowDecision.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js,src/marketRegime/normalizeLongMarketContext.js,src/export/longTradeExportSchema.js
bucketAuditReasons,RETAIN,,100.0,33,5607,1,3,src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
entryResearchSchemaVersion,RETAIN,,100.0,1,5500,6,2,src/filters/longFilterSnapshot.js | src/migrations/migrateLongTradeRecord.js,src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js | src/filters/longFilterSnapshot.js
longFilterSnapshotVersion,RETAIN,,100.0,1,5500,4,3,src/filters/longFilterAnalytics.js | src/filters/longFilterEngine.js | src/filters/longFilterSnapshot.js,src/filters/longFilterSnapshot.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longBestDnaOutcomeLabel,RETAIN,,100.0,3,5492,1,2,src/export/longBestDnaExport.js,src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
longCandidateRunnerTierAtEntry,RETAIN,,100.0,6,5476,7,3,src/app/LongLabApp.jsx | src/combos/longComboRegistry.js | src/filters/FiltersTab.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longCandidateRunner/longCandidateRunner.scorer.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/filters/longHighlightEngine.js | src/migrations/migrateLongTradeRecord.js
btcLongContextLabel,RETAIN,,100.0,1,5400,14,6,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/filters/FiltersTab.jsx | src/longAudits/longEntryDangerAuditLogOnly.js | src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/longGate/longGateAudit.js | src/marketRegime/normalizeLongMarketContext.js | src/research/buildLongEntryResearchSnapshot.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/aesDiscovery/aesDiscoveryTelemetry.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js
longAesConfidenceCalibrationStatus,RETAIN,,100.0,1,5300,2,4,src/filters/longFilterAnalytics.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longMarketBreadthLabel,RETAIN,,100.0,1,5300,7,5,src/entryPolicy/adaptiveAes.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/filters/components/ExplainMatchDrawer.jsx | src/longGate/sniperLongGateLogOnly.js | src/research/buildLongShadowDecision.js,src/marketRegime/longMarketBreadthLogOnly.js,src/export/longTradeExportSchema.js
longMicroMomentumLabel,RETAIN,,100.0,6,5272,22,7,src/audits/bestDnaLongAudit.js | src/filters/FiltersTab.jsx | src/filters/longFilterSnapshot.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longGate/sniperLongGateLogOnly.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longPreviewScorers.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longPreviewScorers.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterAnalytics.js | src/filters/longFilterRegistry.js | src/filters/longHighlightEngine.js | src/research/buildLongEntryResearchSnapshot.js | src/research/entrySnapshotProvenance.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js
closeExecutionMechanism,RETAIN,,100.0,2,5076,3,9,src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
positionLifecycleLastWebsocketAt,RETAIN,,100.0,89,5000,1,1,src/app/LongLabApp.jsx,src/app/LongLabApp.jsx,src/export/longTradeExportSchema.js
absoluteEntryMarketAdjustmentContributions,RETAIN,,100.0,1,4900,1,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/export/longTradeExportSchema.js
longAesConfidenceLabel,RETAIN,,100.0,1,4900,2,3,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js
longAesVersion,RETAIN,,100.0,1,4900,2,3,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js
